EventType,Feature,Value
SLG_Fault,V0_ratio_max,0.4698652758674098
SLG_Fault,V0_ratio_max,0.3159736318552406
SLG_Fault,V0_ratio_max,0.2995953417623376
SLG_Fault,V0_ratio_max,0.4008596868820314
SLG_Fault,V0_ratio_max,0.2931183673741491
SLG_Fault,V0_ratio_max,0.3005334300734565
SLG_Fault,V0_ratio_max,0.4819493610187048
SLG_Fault,V0_ratio_max,0.4726971719912972
SLG_Fault,V0_ratio_max,0.7743117228427273
SLG_Fault,V0_ratio_max,0.4869244929414539
SLG_Fault,V0_ratio_max,0.4851622302045922
ThreePhase_Fault,V0_ratio_max,0.7191743138474016
ThreePhase_Fault,V0_ratio_max,0.7491541003442692
ThreePhase_Fault,V0_ratio_max,0.5840672521081219
ThreePhase_Fault,V0_ratio_max,0.5506390947251821
ThreePhase_Fault,V0_ratio_max,0.3869256687701441
ThreePhase_Fault,V0_ratio_max,0.7593919326744777
ThreePhase_Fault,V0_ratio_max,0.3267712468336229
ThreePhase_Fault,V0_ratio_max,0.9140261636252224
ThreePhase_Fault,V0_ratio_max,0.559983761479213
ThreePhase_Fault,V0_ratio_max,0.1966744551662977
ThreePhase_Fault,V0_ratio_max,0.4601447002165366
ThreePhase_Fault,V0_ratio_max,0.4638596437650811
ThreePhase_Fault,V0_ratio_max,0.2273646363231554
ThreePhase_Fault,V0_ratio_max,0.2387682469408036
ThreePhase_Fault,V0_ratio_max,0.2204695596931493
ThreePhase_Fault,V0_ratio_max,0.2425650504162394
ThreePhase_Fault,V0_ratio_max,0.276143840648439
ThreePhase_Fault,V0_ratio_max,0.4559683894528485
ThreePhase_Fault,V0_ratio_max,0.357356057103006
ThreePhase_Fault,V0_ratio_max,0.4233486901084178
ThreePhase_Fault,V0_ratio_max,0.3865314303802542
ThreePhase_Fault,V0_ratio_max,0.188636104279175
ThreePhase_Fault,V0_ratio_max,0.3909938625361221
ThreePhase_Fault,V0_ratio_max,0.2372663136376766
ThreePhase_Fault,V0_ratio_max,0.2355951602195695
ThreePhase_Fault,V0_ratio_max,0.4584874020743366
ThreePhase_Fault,V0_ratio_max,0.4199076365455463
ThreePhase_Fault,V0_ratio_max,0.8936435061185178
ThreePhase_Fault,V0_ratio_max,0.4559698935339321
ThreePhase_Fault,V0_ratio_max,0.4542872202648048
SLG_Fault,I0_ratio_max,0.9217323440714796
SLG_Fault,I0_ratio_max,0.9351151268851472
SLG_Fault,I0_ratio_max,0.8985550819710761
SLG_Fault,I0_ratio_max,0.9138355770390528
SLG_Fault,I0_ratio_max,0.9658688509359216
SLG_Fault,I0_ratio_max,0.915186530902486
SLG_Fault,I0_ratio_max,0.9431103801113604
SLG_Fault,I0_ratio_max,0.8977713809783581
SLG_Fault,I0_ratio_max,0.8687268194200072
SLG_Fault,I0_ratio_max,0.863290683197082
SLG_Fault,I0_ratio_max,0.8250399318234913
SLG_Fault,I0_ratio_max,0.7594891673287165
SLG_Fault,I0_ratio_max,0.822788359242198
SLG_Fault,I0_ratio_max,0.6935828838202409
SLG_Fault,I0_ratio_max,0.8190372973872843
SLG_Fault,I0_ratio_max,0.5576272082750587
SLG_Fault,I0_ratio_max,0.7968311598036163
SLG_Fault,I0_ratio_max,0.7418945563093116
SLG_Fault,I0_ratio_max,0.7528131050325936
SLG_Fault,I0_ratio_max,0.7650596298373984
SLG_Fault,I0_ratio_max,0.8707647506605383
SLG_Fault,I0_ratio_max,0.8753625340395711
SLG_Fault,I0_ratio_max,0.860288861711418
SLG_Fault,I0_ratio_max,0.926143461757414
SLG_Fault,I0_ratio_max,0.9514995058670392
SLG_Fault,I0_ratio_max,0.871795108928435
SLG_Fault,I0_ratio_max,0.9619798219523747
SLG_Fault,I0_ratio_max,0.9273522971357812
SLG_Fault,I0_ratio_max,0.9233162974671654
SLG_Fault,I0_ratio_max,0.9158421853751236
ThreePhase_Fault,I0_ratio_max,0.1277273871255302
ThreePhase_Fault,I0_ratio_max,0.1643182707605311
ThreePhase_Fault,I0_ratio_max,0.1263043656214588
ThreePhase_Fault,I0_ratio_max,0.1521423957248709
ThreePhase_Fault,I0_ratio_max,0.0978224474308078
ThreePhase_Fault,I0_ratio_max,0.113641895155737
ThreePhase_Fault,I0_ratio_max,0.1199408475667169
ThreePhase_Fault,I0_ratio_max,0.1085668401007357
ThreePhase_Fault,I0_ratio_max,0.1140916645356205
ThreePhase_Fault,I0_ratio_max,0.1387409096035076
ThreePhase_Fault,I0_ratio_max,0.0947004872290402
ThreePhase_Fault,I0_ratio_max,0.1145523859684361
ThreePhase_Fault,I0_ratio_max,0.0752110946161315
