CaseName,EventType,max_dV_energy,max_dI_energy,max_sag,max_V0_ratio,max_I0_ratio,max_Z_drop_ratio,max_V_unbalance,max_I_unbalance
SLG_Fault_Bus13,SLG_Fault,0.2890811164558626,2.1086199536534127,0.9166499101578546,0.3008802705030816,0.822788359242198,0.7615810533413488,0.2931286111421073,1.0573646417666105
SLG_Fault_Bus14,SLG_Fault,0.2717277035994289,0.5132220583681226,0.9611354799280128,0.3250280917487224,0.6935828838202409,0.5167348184139684,0.3072794826443899,0.7258747360825702
SLG_Fault_Bus15,SLG_Fault,0.266429149576045,0.7691726739625431,0.9311092374919242,0.3316857786024976,0.8190372973872843,0.7146046102444062,0.3060586597159588,1.008171712538392
SLG_Fault_Bus16,SLG_Fault,0.2718867631318285,0.4513273887232965,0.971862007159397,0.3066650667067182,0.5576272082750587,0.3850229909781082,0.3225201956358789,0.5364181892996112
SLG_Fault_Bus17,SLG_Fault,0.2643538634507636,0.6920971523247605,0.9569525616147744,0.3172650300193466,0.7968311598036163,0.675100671019552,0.308269896185062,0.9540564355560204
SLG_Fault_Bus18,SLG_Fault,0.2608182711084629,0.3136686031734421,0.9599011862063832,0.4577445247806379,0.7418945563093116,0.5971912946588471,0.3572224848279405,0.8422353838725055
SLG_Fault_Bus19,SLG_Fault,0.2696605177080668,0.3951441569790235,0.9618328281755796,0.4176639348763618,0.7528131050325936,0.6103634289763537,0.3165605628377618,0.8594890186162564
SLG_Fault_Bus20,SLG_Fault,0.2629069555126566,0.4629955338668054,0.9600581475606323,0.4698652758674098,0.7650596298373984,0.6279278580194414,0.3537970444387024,0.8854894945127281
SLG_Fault_Bus21,SLG_Fault,0.2595378744876024,0.8066669964717371,0.9456074544310256,0.3159736318552406,0.8707647506605383,0.7723659806298939,0.3023368065841879,1.1060740074388993
SLG_Fault_Bus22,SLG_Fault,0.2618488522692351,0.7881596427099014,0.945812358530532,0.2995953417623376,0.8753625340395711,0.8184099418251719,0.306821524254998,1.149760492967101
SLG_Fault_Bus23,SLG_Fault,0.2655397022678316,0.3291951848880829,0.959459798449954,0.4008596868820314,0.860288861711418,0.7584433613579364,0.3401534339038693,1.0932390410926591
SLG_Fault_Bus24,SLG_Fault,0.278164666871952,0.4168930847159622,0.9568823737654668,0.2931183673741491,0.926143461757414,0.855145732848283,0.2889993942084312,1.2395090455257591
SLG_Fault_Bus25,SLG_Fault,0.2590720095898788,0.4353434024648602,0.9718987587982608,0.3005334300734565,0.9514995058670392,0.8991776047696173,0.3142496379645273,1.305721979543503
SLG_Fault_Bus26,SLG_Fault,0.2570751597787804,0.1790354653640329,0.9865641410299072,0.4819493610187048,0.871795108928435,0.8141296605616912,0.3890632732618128,1.1825886791235452
SLG_Fault_Bus27,SLG_Fault,0.2609338526012856,0.7162686819993322,0.9706454182256348,0.4726971719912972,0.9619798219523747,0.8901559392075135,0.3796347671494803,1.275109831040754
SLG_Fault_Bus28,SLG_Fault,0.2717922975194956,0.7458860482991694,0.9099951821677106,0.7743117228427273,0.9273522971357812,0.8155367235903845,0.536529237343294,1.1554030761893237
SLG_Fault_Bus29,SLG_Fault,0.2568665038120225,0.3172051786260218,0.9842541608416514,0.4869244929414539,0.9233162974671654,0.7972038051297242,0.3929786455944566,1.1407256551993803
SLG_Fault_Bus30,SLG_Fault,0.2535136167688812,0.2850752366477294,0.9853283185733902,0.4851622302045922,0.9158421853751236,0.7798018468562617,0.3919938479490193,1.1151172159444802
