BusGroup,Feature,EventType,BinaryClass,Mean,Median,IQR,Minimum,Maximum,Count
Infeasible single-WMU buses,I0 ratio,SSO_SLG_Fault,Fault,0.19884092140894186,0.12695155492484925,0.16044654683718235,0.0136503538712591,0.991998922929606,720
Infeasible single-WMU buses,I0 ratio,SSO_ThreePhase_Fault,Fault,0.047003284625918615,0.036926508137061845,0.045385972276260025,0.0008421850094844,0.3585217556068856,720
Infeasible single-WMU buses,I2 ratio,SSO_LoadSwitch,Non-fault,0.0004926584602367647,0.0004492156210666,2.7676376357400022e-05,1.0076310800451717e-05,0.0021597153738951,504
Infeasible single-WMU buses,I2 ratio,SSO_Normal,Non-fault,0.0004770366889798375,0.00022599429913545,1.8406189148999983e-05,0.0001381813437156,0.0037956021593301,72
Infeasible single-WMU buses,I2 ratio,SSO_SLG_Fault,Fault,0.17241066047813852,0.1014766252541468,0.12783824840247404,0.0111501204585703,1.8130890850519803,720
Infeasible single-WMU buses,I2 ratio,SSO_ThreePhase_Fault,Fault,0.03237522199299435,0.00515651798442435,0.012240764954507825,9.046372823299034e-05,6.026910974881486,720
Infeasible single-WMU buses,Maximum sag,SSO_LoadSwitch,Non-fault,0.0027632829262349582,0.00250988815656805,0.0027995337520901747,0.0,0.0111570599650183,504
Infeasible single-WMU buses,Maximum sag,SSO_Normal,Non-fault,0.0,0.0,0.0,0.0,0.0,72
Infeasible single-WMU buses,Maximum sag,SSO_SLG_Fault,Fault,0.34627941358830905,0.3015115110400071,0.2859858661769036,0.0,0.9932810313403676,720
Infeasible single-WMU buses,Maximum sag,SSO_ThreePhase_Fault,Fault,0.38140333537437304,0.33429692154367063,0.323343763071089,0.035439464881981,0.998875154534114,720
Infeasible single-WMU buses,Switching-window dV energy,SSO_LoadSwitch,Non-fault,0.01295229624150023,0.012301480747049499,0.0021601157194220504,0.008829192198113,0.0184056990111715,504
Infeasible single-WMU buses,Switching-window dV energy,SSO_Normal,Non-fault,0.010823083021119985,0.01022052056223295,0.0018555613589199271,0.0074153074972136,0.0155336495365705,72
Infeasible single-WMU buses,Switching-window dV energy,SSO_SLG_Fault,Fault,0.1956663152373372,0.1206767947805689,0.19233691962936536,0.0136482431509645,2.0754603253385797,720
Infeasible single-WMU buses,Switching-window dV energy,SSO_ThreePhase_Fault,Fault,9.022222005527158,0.1779797048805201,0.560884464858487,0.0149316004313659,277.3028176046085,720
Infeasible single-WMU buses,V RMS drop proxy,SSO_LoadSwitch,Non-fault,0.0027632829262349582,0.00250988815656805,0.0027995337520901747,0.0,0.0111570599650183,504
Infeasible single-WMU buses,V RMS drop proxy,SSO_Normal,Non-fault,0.0,0.0,0.0,0.0,0.0,72
Infeasible single-WMU buses,V RMS drop proxy,SSO_SLG_Fault,Fault,0.34627941358830905,0.3015115110400071,0.2859858661769036,0.0,0.9932810313403676,720
Infeasible single-WMU buses,V RMS drop proxy,SSO_ThreePhase_Fault,Fault,0.38140333537437304,0.33429692154367063,0.323343763071089,0.035439464881981,0.998875154534114,720
