CaseName,EventType,TargetBus,ObservedBus,BinaryFaultLabel,FaultEvidence,LoadSwitchEvidence,FaultScore
SSO_LoadSwitch_Bus20,SSO_LoadSwitch,20.0,8,0,0.9955210568478,1.0,0.4955210568478
SSO_LoadSwitch_Bus21,SSO_LoadSwitch,21.0,8,0,0.995547136856679,0.9989910588290474,0.49605160744215526
SSO_LoadSwitch_Bus23,SSO_LoadSwitch,23.0,8,0,0.9955227455766341,0.9999931263592313,0.49552618239701846
SSO_LoadSwitch_Bus24,SSO_LoadSwitch,24.0,8,0,0.9955346439482503,0.9995924707151574,0.4957384085906716
SSO_LoadSwitch_Bus26,SSO_LoadSwitch,26.0,8,0,0.9955255116864191,0.9999252400001255,0.49556289168635637
SSO_LoadSwitch_Bus29,SSO_LoadSwitch,29.0,8,0,0.9955227304118637,1.0,0.4955227304118637
SSO_LoadSwitch_Bus30,SSO_LoadSwitch,30.0,8,0,0.9955328215803689,0.9995511316522087,0.4957572557542646
SSO_Normal_Case01,SSO_Normal,,8,0,1.0,0.16787364488495274,0.9160631775575236
SSO_Normal_Case02,SSO_Normal,,8,0,1.0,0.16787364488495274,0.9160631775575236
SSO_Normal_Case03,SSO_Normal,,8,0,1.0,0.16787364488495274,0.9160631775575236
SSO_SLG_Fault_Bus01,SSO_SLG_Fault,1.0,8,1,0.9607041333707242,0.07544448637891205,0.9229818901812682
SSO_SLG_Fault_Bus02,SSO_SLG_Fault,2.0,8,1,1.0,0.09375819537403932,0.9531209023129803
SSO_SLG_Fault_Bus03,SSO_SLG_Fault,3.0,8,1,0.9730095357576742,0.09400802897037859,0.9260055212724849
SSO_SLG_Fault_Bus04,SSO_SLG_Fault,4.0,8,1,1.0,0.0973472449472727,0.9513263775263636
SSO_SLG_Fault_Bus05,SSO_SLG_Fault,5.0,8,1,0.9704433391058274,0.0942216219141544,0.9233325281487501
SSO_SLG_Fault_Bus06,SSO_SLG_Fault,6.0,8,1,1.0,0.08918754876172617,0.9554062256191369
SSO_SLG_Fault_Bus07,SSO_SLG_Fault,7.0,8,1,1.0,0.09740040175592336,0.9512997991220383
SSO_SLG_Fault_Bus08,SSO_SLG_Fault,8.0,8,1,1.0,0.10177411876454627,0.9491129406177269
SSO_SLG_Fault_Bus09,SSO_SLG_Fault,9.0,8,1,0.9940829059092948,0.09385487339372418,0.9471554692124328
SSO_SLG_Fault_Bus10,SSO_SLG_Fault,10.0,8,1,0.9936359271645129,0.09443730520127916,0.9464172745638733
SSO_SLG_Fault_Bus11,SSO_SLG_Fault,11.0,8,1,0.9920304030952989,0.10265374202640558,0.9407035320820961
SSO_SLG_Fault_Bus12,SSO_SLG_Fault,12.0,8,1,0.9930424237680439,0.12787808206318607,0.9291033827364508
SSO_SLG_Fault_Bus13,SSO_SLG_Fault,13.0,8,1,0.9911230549551171,0.1616477990834341,0.9102991554134
SSO_SLG_Fault_Bus14,SSO_SLG_Fault,14.0,8,1,0.9782039138232577,0.16037146431914873,0.8980181816636833
SSO_SLG_Fault_Bus15,SSO_SLG_Fault,15.0,8,1,0.9935929587815167,0.08668193475064695,0.9502519914061932
SSO_SLG_Fault_Bus16,SSO_SLG_Fault,16.0,8,1,0.9924545492395458,0.3337788478070837,0.8255651253360039
