CaseName,EventType,TargetBus,CaseIndex,PredBus,Top3Pred,NearestEventType,NearestDistance,Evaluation,ExactMatch,Top3Match,OneHopMatch,is_1hop
SSO_SLG_Fault_Bus10,SSO_SLG_Fault,10.0,9,9,"[9, 22, 21]",SSO_SLG_Fault,29.571902787112563,strict_loo,False,False,True,True
SSO_SLG_Fault_Bus11,SSO_SLG_Fault,11.0,10,9,"[9, 22, 13]",SSO_SLG_Fault,27.10343810781882,strict_loo,False,False,True,True
SSO_SLG_Fault_Bus12,SSO_SLG_Fault,12.0,11,13,"[13, 15, 9]",SSO_SLG_Fault,29.494376631399394,strict_loo,False,False,True,True
SSO_SLG_Fault_Bus13,SSO_SLG_Fault,13.0,12,12,"[12, 11, 16]",SSO_SLG_Fault,29.494376631399394,strict_loo,False,False,True,True
SSO_SLG_Fault_Bus14,SSO_SLG_Fault,14.0,13,2,"[2, 25, 5]",SSO_SLG_Fault,43.8454613245705,strict_loo,False,False,False,False
SSO_SLG_Fault_Bus15,SSO_SLG_Fault,15.0,14,13,"[13, 12, 9]",SSO_SLG_Fault,36.17576682868112,strict_loo,False,False,False,False
SSO_SLG_Fault_Bus16,SSO_SLG_Fault,16.0,15,13,"[13, 12, 23]",SSO_SLG_Fault,32.59643258018378,strict_loo,False,False,False,False
SSO_SLG_Fault_Bus17,SSO_SLG_Fault,17.0,16,9,"[9, 22, 11]",SSO_SLG_Fault,29.72739731413124,strict_loo,False,False,False,False
SSO_SLG_Fault_Bus18,SSO_SLG_Fault,18.0,17,20,"[20, 25, 19]",SSO_SLG_Fault,39.75996042358825,strict_loo,False,False,False,False
SSO_SLG_Fault_Bus19,SSO_SLG_Fault,19.0,18,20,"[20, 25, 9]",SSO_SLG_Fault,38.06417505564072,strict_loo,False,False,True,True
SSO_SLG_Fault_Bus20,SSO_SLG_Fault,20.0,19,19,"[19, 25, 18]",SSO_SLG_Fault,38.06417505564072,strict_loo,False,False,True,True
SSO_SLG_Fault_Bus21,SSO_SLG_Fault,21.0,20,9,"[9, 22, 10]",SSO_SLG_Fault,27.553146913691524,strict_loo,False,False,False,False
SSO_SLG_Fault_Bus22,SSO_SLG_Fault,22.0,21,9,"[9, 21, 10]",SSO_SLG_Fault,25.808631851163437,strict_loo,False,False,False,False
SSO_SLG_Fault_Bus23,SSO_SLG_Fault,23.0,22,9,"[9, 22, 13]",SSO_SLG_Fault,33.41977428767574,strict_loo,False,False,False,False
SSO_SLG_Fault_Bus24,SSO_SLG_Fault,24.0,23,22,"[22, 9, 27]",SSO_SLG_Fault,32.22396124490145,strict_loo,False,False,True,True
