selected_buses,num_features,normal_trigger_rate,macro_f1,balanced_accuracy,LoadSwitch_recall,Fault_precision,Normal_false_alarm_rate,Normal_recall,Method,k,CandidateBus,Trial
"[1, 2, 20]",243,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,3,20,
"[1, 2, 21]",243,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,3,21,
"[1, 2, 22]",243,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,3,22,
"[1, 2, 23]",243,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,3,23,
"[1, 2, 24]",243,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,3,24,
"[1, 2, 25]",243,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,3,25,
"[1, 2, 26]",243,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,3,26,
"[1, 2, 27]",243,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,3,27,
"[1, 2, 28]",243,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,3,28,
"[1, 2, 29]",243,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,3,29,
"[1, 2, 30]",243,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,3,30,
"[1, 2, 3]",243,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_selected,3,3,
"[1, 2, 3, 4]",324,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,4,4,
"[1, 2, 3, 5]",324,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,4,5,
"[1, 2, 3, 6]",324,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,4,6,
"[1, 2, 3, 7]",324,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,4,7,
"[1, 2, 3, 8]",324,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,4,8,
"[1, 2, 3, 9]",324,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,4,9,
"[1, 2, 3, 10]",324,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,4,10,
"[1, 2, 3, 11]",324,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,4,11,
"[1, 2, 3, 12]",324,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,4,12,
"[1, 2, 3, 13]",324,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,4,13,
"[1, 2, 3, 14]",324,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,4,14,
"[1, 2, 3, 15]",324,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,4,15,
"[1, 2, 3, 16]",324,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,4,16,
"[1, 2, 3, 17]",324,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,4,17,
"[1, 2, 3, 18]",324,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,4,18,
"[1, 2, 3, 19]",324,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,4,19,
"[1, 2, 3, 20]",324,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,4,20,
"[1, 2, 3, 21]",324,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,4,21,
"[1, 2, 3, 22]",324,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,4,22,
"[1, 2, 3, 23]",324,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,4,23,
"[1, 2, 3, 24]",324,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,4,24,
"[1, 2, 3, 25]",324,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,4,25,
"[1, 2, 3, 26]",324,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,4,26,
"[1, 2, 3, 27]",324,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,4,27,
"[1, 2, 3, 28]",324,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,4,28,
"[1, 2, 3, 29]",324,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,4,29,
"[1, 2, 3, 30]",324,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,4,30,
"[1, 2, 3, 4]",324,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_selected,4,4,
"[1, 2, 3, 4, 5]",405,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,5,5,
"[1, 2, 3, 4, 6]",405,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,5,6,
"[1, 2, 3, 4, 7]",405,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,5,7,
"[1, 2, 3, 4, 8]",405,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,5,8,
"[1, 2, 3, 4, 9]",405,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,5,9,
"[1, 2, 3, 4, 10]",405,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,5,10,
"[1, 2, 3, 4, 11]",405,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,5,11,
"[1, 2, 3, 4, 12]",405,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,5,12,
"[1, 2, 3, 4, 13]",405,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,5,13,
"[1, 2, 3, 4, 14]",405,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,5,14,
"[1, 2, 3, 4, 15]",405,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,5,15,
"[1, 2, 3, 4, 16]",405,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,5,16,
"[1, 2, 3, 4, 17]",405,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,5,17,
"[1, 2, 3, 4, 18]",405,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,5,18,
"[1, 2, 3, 4, 19]",405,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,5,19,
"[1, 2, 3, 4, 20]",405,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,5,20,
"[1, 2, 3, 4, 21]",405,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,5,21,
"[1, 2, 3, 4, 22]",405,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,5,22,
"[1, 2, 3, 4, 23]",405,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,5,23,
"[1, 2, 3, 4, 24]",405,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,5,24,
"[1, 2, 3, 4, 25]",405,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,5,25,
"[1, 2, 3, 4, 26]",405,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,5,26,
"[1, 2, 3, 4, 27]",405,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,5,27,
"[1, 2, 3, 4, 28]",405,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,5,28,
"[1, 2, 3, 4, 29]",405,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,5,29,
"[1, 2, 3, 4, 30]",405,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,5,30,
"[1, 2, 3, 4, 5]",405,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_selected,5,5,
"[1, 2, 3, 4, 5, 6]",486,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,6,6,
"[1, 2, 3, 4, 5, 7]",486,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,6,7,
"[1, 2, 3, 4, 5, 8]",486,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,6,8,
"[1, 2, 3, 4, 5, 9]",486,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,6,9,
"[1, 2, 3, 4, 5, 10]",486,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,6,10,
"[1, 2, 3, 4, 5, 11]",486,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,6,11,
"[1, 2, 3, 4, 5, 12]",486,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,6,12,
"[1, 2, 3, 4, 5, 13]",486,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,6,13,
"[1, 2, 3, 4, 5, 14]",486,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,6,14,
"[1, 2, 3, 4, 5, 15]",486,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,6,15,
"[1, 2, 3, 4, 5, 16]",486,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,6,16,
"[1, 2, 3, 4, 5, 17]",486,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,6,17,
"[1, 2, 3, 4, 5, 18]",486,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,6,18,
"[1, 2, 3, 4, 5, 19]",486,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,6,19,
"[1, 2, 3, 4, 5, 20]",486,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,6,20,
"[1, 2, 3, 4, 5, 21]",486,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,6,21,
"[1, 2, 3, 4, 5, 22]",486,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,6,22,
"[1, 2, 3, 4, 5, 23]",486,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,6,23,
"[1, 2, 3, 4, 5, 24]",486,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,6,24,
"[1, 2, 3, 4, 5, 25]",486,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,6,25,
"[1, 2, 3, 4, 5, 26]",486,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,6,26,
"[1, 2, 3, 4, 5, 27]",486,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,6,27,
"[1, 2, 3, 4, 5, 28]",486,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,6,28,
"[1, 2, 3, 4, 5, 29]",486,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,6,29,
"[1, 2, 3, 4, 5, 30]",486,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,6,30,
"[1, 2, 3, 4, 5, 6]",486,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_selected,6,6,
"[1, 2, 3, 4, 5, 6, 7]",567,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,7,7,
"[1, 2, 3, 4, 5, 6, 8]",567,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,7,8,
"[1, 2, 3, 4, 5, 6, 9]",567,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,7,9,
"[1, 2, 3, 4, 5, 6, 10]",567,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,7,10,
"[1, 2, 3, 4, 5, 6, 11]",567,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,7,11,
"[1, 2, 3, 4, 5, 6, 12]",567,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,7,12,
"[1, 2, 3, 4, 5, 6, 13]",567,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,7,13,
"[1, 2, 3, 4, 5, 6, 14]",567,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,7,14,
"[1, 2, 3, 4, 5, 6, 15]",567,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,7,15,
"[1, 2, 3, 4, 5, 6, 16]",567,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,7,16,
"[1, 2, 3, 4, 5, 6, 17]",567,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,7,17,
"[1, 2, 3, 4, 5, 6, 18]",567,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,7,18,
"[1, 2, 3, 4, 5, 6, 19]",567,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,7,19,
"[1, 2, 3, 4, 5, 6, 20]",567,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,7,20,
