k,Method,SelectedBuses,macro_f1,balanced_accuracy,LoadSwitch_recall,Fault_precision,Normal_false_alarm_rate,Normal_recall
17,random_mean_3,random,1.0,1.0,1.0,1.0,0.0,1.0
18,random_mean_3,random,1.0,1.0,1.0,1.0,0.0,1.0
19,random_mean_3,random,1.0,1.0,1.0,1.0,0.0,1.0
20,random_mean_3,random,1.0,1.0,1.0,1.0,0.0,1.0
21,random_mean_3,random,1.0,1.0,1.0,1.0,0.0,1.0
22,random_mean_3,random,1.0,1.0,1.0,1.0,0.0,1.0
23,random_mean_3,random,1.0,1.0,1.0,1.0,0.0,1.0
24,random_mean_3,random,1.0,1.0,1.0,1.0,0.0,1.0
25,random_mean_3,random,1.0,1.0,1.0,1.0,0.0,1.0
26,random_mean_3,random,1.0,1.0,1.0,1.0,0.0,1.0
27,random_mean_3,random,1.0,1.0,1.0,1.0,0.0,1.0
28,random_mean_3,random,1.0,1.0,1.0,1.0,0.0,1.0
29,random_mean_3,random,1.0,1.0,1.0,1.0,0.0,1.0
30,random_mean_3,random,1.0,1.0,1.0,1.0,0.0,1.0
